question,mean,label
Devil Exists,2.08,Emergent
Devil Exists,1.18,Non Emergent
Literal Bible,3.15,Emergent
Literal Bible,2.91,Non Emergent
Jesus Return to Earth,2.19,Emergent
Jesus Return to Earth,1.77,Non Emergent
Virgin Birth,2.21,Emergent
Virgin Birth,1.73,Non Emergent
Absolute Truth,2.21,Emergent
Absolute Truth,1.96,Non Emergent
Male Authority,3.79,Emergent
Male Authority,3.59,Non Emergent
